ParticipantID,Gender,Accuracy,Phase,Entity,EntityNum,Percentage_B1,Percentage_B2,Percentage_Avg
P401,F,1,1,Method_Signature,4,0.06,0.08,0.04
P401,F,1,2,Member_Variable,0,0.1,0,0
P401,F,1,2,Comment,1,0.04,0.26,0.15
P401,F,1,2,Class_Signature,2,0,0,0
P401,F,1,2,Method_Body,3,0.86,0.73,0.845
P401,F,1,2,Method_Signature,4,0,0.01,0.005
P401,F,1,3,Member_Variable,0,0,0.02,0.01
P401,F,1,3,Comment,1,0.3,0.16,0.23
P401,F,1,3,Class_Signature,2,0,0,0
P401,F,1,3,Method_Body,3,0.64,0.82,0.73
P401,F,1,3,Method_Signature,4,0.06,0,0.03
P402,M,1,1,Member_Variable,0,0.12,0.03,0.075
P402,M,1,1,Comment,1,0.39,0.21,0.3
P402,M,1,1,Class_Signature,2,0,0.01,0.005
P402,M,1,1,Method_Body,3,0.47,0.72,0.595
P402,M,1,1,Method_Signature,4,0.02,0.03,0.025
P402,M,1,2,Member_Variable,0,0.09,0,0
P402,M,1,2,Comment,1,0.1,0.07,0.11
P402,M,1,2,Class_Signature,2,0,0,0
P402,M,1,2,Method_Body,3,0.8,0.93,0.885
P402,M,1,2,Method_Signature,4,0.01,0,0.005
P402,M,1,3,Member_Variable,0,0,0,0
P402,M,1,3,Comment,1,0.02,0.22,0.12
P402,M,1,3,Class_Signature,2,0,0,0
P402,M,1,3,Method_Body,3,0.98,0.7,0.84
P402,M,1,3,Method_Signature,4,0,0.08,0.04
P403,F,1,1,Member_Variable,0,0.03,0.14,0.075
P403,F,1,1,Comment,1,0.31,0.41,0.36
P403,F,1,1,Class_Signature,2,0,0.01,0.005
P403,F,1,1,Method_Body,3,0.63,0.37,0.485
P403,F,1,1,Method_Signature,4,0.03,0.07,0.05
P403,F,1,2,Member_Variable,0,0.13,0.11,0.07
P403,F,1,2,Comment,1,0.09,0.16,0.175
P403,F,1,2,Class_Signature,2,0,0,0
P403,F,1,2,Method_Body,3,0.77,0.72,0.745
P403,F,1,2,Method_Signature,4,0.01,0.01,0.01
P403,F,1,3,Member_Variable,0,0,0,0
P403,F,1,3,Comment,1,0.37,0.08,0.225
P403,F,1,3,Class_Signature,2,0,0,0
P403,F,1,3,Method_Body,3,0.62,0.92,0.77
P403,F,1,3,Method_Signature,4,0.01,0,0.005
P404,F,0,1,Member_Variable,0,NA,0.02,0.01
P404,F,0,1,Comment,1,NA,0.24,0.12
P404,F,0,1,Class_Signature,2,NA,0,0
P404,F,0,1,Method_Body,3,NA,0.63,0.315
P404,F,0,1,Method_Signature,4,NA,0.11,0.055
P404,F,0,2,Member_Variable,0,0.13,0.15,0.09
P404,F,0,2,Comment,1,0.24,0.25,0.295
P404,F,0,2,Class_Signature,2,0,0,0
P404,F,0,2,Method_Body,3,0.63,0.6,0.615
P404,F,0,2,Method_Signature,4,0,0,0
P404,F,0,3,Member_Variable,0,0,0.08,0.04
P404,F,0,3,Comment,1,0,0.19,0.095
P404,F,0,3,Class_Signature,2,0,0,0
P404,F,0,3,Method_Body,3,1,0.72,0.86
P404,F,0,3,Method_Signature,4,0,0.01,0.005
P405,F,0,1,Member_Variable,0,0.09,0.51,0.3
P405,F,0,1,Comment,1,0.24,0.13,0.185
P405,F,0,1,Class_Signature,2,0,0,0
P405,F,0,1,Method_Body,3,0.66,0.35,0.505
P405,F,0,1,Method_Signature,4,0.01,0.01,0.01
P405,F,0,2,Member_Variable,0,0.01,0.01,0.01
P405,F,0,2,Comment,1,0.06,0.58,0.32
P405,F,0,2,Class_Signature,2,0,0,0
P405,F,0,2,Method_Body,3,0.93,0.37,0.65
P405,F,0,2,Method_Signature,4,0,0.04,0.02
P405,F,0,3,Member_Variable,0,NA,0.05,0.025
P405,F,0,3,Comment,1,NA,0.74,0.37
P405,F,0,3,Class_Signature,2,NA,0,0
P405,F,0,3,Method_Body,3,NA,0.21,0.105
P405,F,0,3,Method_Signature,4,NA,0,0
P406,M,0,1,Member_Variable,0,NA,0,0
P406,M,0,1,Comment,1,NA,0.21,0.105
P406,M,0,1,Class_Signature,2,NA,0,0
P406,M,0,1,Method_Body,3,NA,0.79,0.395
P406,M,0,1,Method_Signature,4,NA,0,0
P406,M,0,2,Member_Variable,0,0.14,NA,0.02
P406,M,0,2,Comment,1,0.16,NA,0.08
P406,M,0,2,Class_Signature,2,0,NA,0
P406,M,0,2,Method_Body,3,0.7,NA,0.4
P406,M,0,2,Method_Signature,4,0,NA,0
